RadioID,RegionID,Url
Bakersfield_100mi,DEN,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_100mi__DEN.geojson
Bakersfield_100mi,FL,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_100mi__FL.geojson
Bakersfield_100mi,LV,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_100mi__LV.geojson
Bakersfield_100mi,NCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_100mi__NCA.geojson
Bakersfield_100mi,PHX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_100mi__PHX.geojson
Bakersfield_100mi,SCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_100mi__SCA.geojson
Bakersfield_100mi,TX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_100mi__TX.geojson
Bakersfield_150mi,DEN,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_150mi__DEN.geojson
Bakersfield_150mi,FL,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_150mi__FL.geojson
Bakersfield_150mi,LV,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_150mi__LV.geojson
Bakersfield_150mi,NCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Bakersfield_150mi__NCA.geojson
